Date;Close;AdjClose
Mar 01 1993;45167;45167
Feb 01 1993;44338;44338
Jan 01 1993;43878;43878
Dec 01 1992;43571;43571
Nov 01 1992;43135;43135
Oct 01 1992;41868;41868
Sep 01 1992;41780;41780
Aug 01 1992;41403;41403
Jul 01 1992;42421;42421
Jun 01 1992;40814;40814
May 01 1992;41535;41535
Apr 01 1992;41495;41495
Mar 01 1992;40369;40369
Feb 01 1992;41270;41270
Jan 01 1992;40878;40878
Dec 01 1991;41709;41709
Nov 01 1991;37522;37522
Oct 01 1991;39245;39245
Sep 01 1991;38786;38786
Aug 01 1991;39543;39543
Jul 01 1991;38781;38781
Jun 01 1991;37116;37116
May 01 1991;38983;38983
Apr 01 1991;37534;37534
Mar 01 1991;37522;37522
Feb 01 1991;36707;36707
Jan 01 1991;34393;34393
Dec 01 1990;33022;33022
Nov 01 1990;32222;32222
Oct 01 1990;30400;30400
Sep 01 1990;30605;30605
Aug 01 1990;32256;32256
Jul 01 1990;35615;35615
Jun 01 1990;35802;35802
May 01 1990;36123;36123
Apr 01 1990;33080;33080
Mar 01 1990;33994;33994
Feb 01 1990;33189;33189
Jan 01 1990;32908;32908
Dec 01 1989;35340;35340
Nov 01 1989;34599;34599
Oct 01 1989;34036;34036
Sep 01 1989;34915;34915
Aug 01 1989;35145;35145
Jul 01 1989;34608;34608
Jun 01 1989;31798;31798
May 01 1989;32052;32052
Apr 01 1989;30964;30964
Mar 01 1989;29487;29487
Feb 01 1989;28886;28886
Jan 01 1989;29747;29747
Dec 01 1988;27772;27772
Nov 01 1988;27370;27370
Oct 01 1988;27897;27897
Sep 01 1988;27191;27191
Aug 01 1988;26152;26152
Jul 01 1988;27202;27202
Jun 01 1988;27350;27350
May 01 1988;26216;26216
Apr 01 1988;26133;26133
Mar 01 1988;25889;25889
Feb 01 1988;26782;26782
Jan 01 1988;25707;25707
Dec 01 1987;24708;24708
Nov 01 1987;23030;23030
Oct 01 1987;25179;25179
Sep 01 1987;32183;32183
Aug 01 1987;32980;32980
Jul 01 1987;31866;31866
Jun 01 1987;30400;30400
May 01 1987;29010;29010
Apr 01 1987;28836;28836
Mar 01 1987;29170;29170
Feb 01 1987;28420;28420
Jan 01 1987;27408;27408
Dec 01 1986;24217;24217
Nov 01 1986;24922;24922
Oct 01 1986;24398;24398
Sep 01 1986;23132;23132
Aug 01 1986;25293;25293
Jul 01 1986;23612;23612
Jun 01 1986;25084;25084
May 01 1986;24735;24735
Apr 01 1986;23552;23552
Mar 01 1986;23890;23890
Feb 01 1986;22692;22692
Jan 01 1986;21178;21178
Dec 01 1985;21128;21128
Nov 01 1985;20217;20217
Oct 01 1985;18982;18982
Sep 01 1985;18208;18208
Aug 01 1985;18863;18863
Jul 01 1985;19092;19092
Jun 01 1985;19185;19185
May 01 1985;18955;18955
Apr 01 1985;17983;17983
Mar 01 1985;18066;18066
Feb 01 1985;18118;18118
Jan 01 1985;17963;17963
